policy_id,family,horizon_hours,lookback_hours,threshold,maximum_spread,exit_hours,risk_fraction,scenario,training_cash,training_pnl,total_fees,closed_trades,release_days,maximum_cost_drawdown,mean_daily_log_growth,simultaneous_lower_daily_log_growth,selection_rejections
6cffba7ff2409182,momentum,12,1,0.03,0.03,3,0.005,costed,182.58,-17.42,2.94,104,83,0.0873,-0.0003674553766576699,-0.0007278554376491365,nonpositive_simultaneous_lower_bound;nonpositive_stress_profit
6cffba7ff2409182,momentum,12,1,0.03,0.03,3,0.01,costed,160.47,-39.53,5.41,115,88,0.19765,-0.0008879449892611612,-0.001673717850013477,nonpositive_simultaneous_lower_bound;nonpositive_stress_profit
6cffba7ff2409182,momentum,12,1,0.03,0.03,3,0.025,costed,159.6,-40.4,4.58,36,26,0.202,-0.0009098656513400341,-0.0026460467229672984,nonpositive_simultaneous_lower_bound;insufficient_release_days;nonpositive_stress_profit
6cffba7ff2409182,momentum,12,1,0.03,0.03,3,0.05,costed,157.83,-42.17,6.44,25,20,0.21085,-0.0009548341215210137,-0.0031772640719945175,nonpositive_simultaneous_lower_bound;insufficient_release_days;nonpositive_stress_profit
6cffba7ff2409182,momentum,12,1,0.03,0.03,3,0.005,stress,186.71,-13.29,2.35,91,72,0.07266315684911095,-0.0002772611111725493,-0.0007877163415428011,
6cffba7ff2409182,momentum,12,1,0.03,0.03,3,0.01,stress,173.27,-26.73,4.52,96,75,0.14855036855036854,-0.000578493125101937,-0.001715161525521473,
6cffba7ff2409182,momentum,12,1,0.03,0.03,3,0.025,stress,164.46,-35.54,7.49,58,42,0.21945894636924537,-0.0007889112379245451,-0.003459950333190384,
6cffba7ff2409182,momentum,12,1,0.03,0.03,3,0.05,stress,165.9,-34.1,4.99,20,16,0.20879435330026708,-0.0007537587473856371,-0.0037743616899170856,
aa7b5bd63e756eaf,momentum,12,1,0.03,0.03,,0.005,costed,182.91,-17.09,2.16,103,81,0.08673494878840869,-0.0003601739433879144,-0.0008014494099061245,nonpositive_simultaneous_lower_bound;nonpositive_stress_profit
aa7b5bd63e756eaf,momentum,12,1,0.03,0.03,,0.01,costed,161.99,-38.01,4.24,115,89,0.19005,-0.0008499304903870588,-0.0018085103282918825,nonpositive_simultaneous_lower_bound;nonpositive_stress_profit
aa7b5bd63e756eaf,momentum,12,1,0.03,0.03,,0.025,costed,158.24,-41.76,2.68,27,20,0.2088,-0.0009443729785227209,-0.003119063934624076,nonpositive_simultaneous_lower_bound;insufficient_release_days;nonpositive_stress_profit
